id,mssv, lopsh, hocky, namhoc, drl, ghichu
27,599DFFB8XPvAibaEXe879+AOg1gh8lJvChSN7o+V, ANTN2013,2,2013,59, NULL
28,FC77E598XPvAibaEXe879+AOg1gh8pb/q8KzJ2A3, ANTN2013,2,2013,91, NULL
29,51E1C3E0XPvAibaEXe+4hxKfaQWuhLp2zzmiiyRe, ANTN2013,2,2013,93, NULL
30,6920B9AAXPvAibaEXe83EtiN4MI2ns6NZhlUAIhE, ANTN2013,2,2013,69, NULL
31,2F237AA9XPvAibaEXe/YKAlYnC3m967dOM4WK2IJ, ANTN2013,2,2013,72, NULL
32,6AEF2EC0XPvAibaEXe86736b6Ol+/EwtIJHvLVRJ, ANTN2013,2,2013,60, NULL
33,6F75613CXPvAibaEXe8/3iNqySORbxrmFjIeDct7, ANTN2013,2,2013,96, NULL
34,41EBF544XPvAibaEXe8/3iNqySORb+za0yWMmptx, ANTN2013,2,2013,86, NULL
35,52A13A56XPvAibaEXe8Y+/3uR2PkTBzKGlmHNdAe, ANTN2013,2,2013,94, NULL
36,45B8D2AFXPvAibaEXe9jjgNhrmbJFDlSnTjOuVMt, ANTN2013,2,2013,40, NULL
37,1DCACA12XPvAibaEXe/XBbLEWRhgQQZvuxC3bpO+, ANTN2013,2,2013,94, NULL
38,A438E310XPvAibaEXe8VekUw4ELehh5JZ8Xkd+Ce, ANTN2013,2,2013,85, NULL
39,57203F91XPvAibaEXe9JDlHA4z2GHFHVJ5vTRj7d, ANTN2013,2,2013,100, NULL
40,29430069XPvAibaEXe+TFgEDwYNnvUaz/ItEjR3K, ANTN2013,2,2013,88, NULL
41,007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6, ANTN2013,2,2013,86, NULL
42,DEC271BCXPvAibaEXe8WD3qnVG2b/XsMiSHc1tc+, ANTN2013,2,2013,91, NULL
43,6F056D09XPvAibaEXe8WD3qnVG2b/T+8k+BG8W0+, ANTN2013,2,2013,73, NULL
44,A51D3E41XPvAibaEXe/uH+ehSKMSjcnvclj+jKaO, ANTN2013,2,2013,93, NULL
45,39D76A4EXPvAibaEXe8Cym7B6GX+Tt/q64ZsOx/+, ANTN2013,2,2013,70, NULL
46,082CA1BDXPvAibaEXe9h45naFhFKYgXejbIyWnsM, ANTN2013,2,2013,98, NULL
47,1AE2E583XPvAibaEXe/X/wixypGyAvAp4QDIsUoZ, ANTN2013,2,2013,60, NULL
48,1F7628F8XPvAibaEXe9aucNQ7/14aOyjtUGYaNi7, ANTN2013,2,2013,93, NULL
49,D3CF8A69XPvAibaEXe9/su+qLcYDMseXWfkodzkh, ANTN2013,2,2013,71, NULL
50,578A7225XPvAibaEXe8hvnm4ihleLUtcWtYNAOFi, ANTN2013,2,2013,81, NULL
51,E99E9EA2XPvAibaEXe+LLvbxzunmJFOIkyW9ng8u, ANTN2013,2,2013,100, NULL
52,6CDA0ED7XPvAibaEXe+BHZkA9XgGXSS4BHzShGje, ANTN2013,2,2013,97, NULL
53,EDD0F071XPvAibaEXe+BHZkA9XgGXcEipjLDOZCD, ANTN2013,2,2013,97, NULL
54,0B468FE1XPvAibaEXe+fmxcqgvribL7shgQ1FhJv, ANTN2013,2,2013,78, NULL
55,FFE9E452XPvAibaEXe+6MN9FoW2mqXtx1lMTF9+D, ANTN2013,2,2013,98, NULL
56,702D2CF3XPvAibaEXe8ooYk4mkUGmA64Z/iLP3mB, ANTN2013,2,2013,91, NULL
57,149BDD84XPvAibaEXe9CtFSNMbfIz6gM1EejySf8, ANTN2013,2,2013,97, NULL
58,1167D435XPvAibaEXe9CtFSNMbfIz9uO8zWPyxcF, ANTN2013,2,2013,81, NULL
59,C78522F6XPvAibaEXe+PhKfQb0+XJ+23aVlRLh8x, ANTN2013,2,2013,93, NULL
60,483CDFA0XPvAibaEXe97hU2RTHdNnNgOjGYTeaj2, ANTN2013,2,2013,88, NULL
61,F5B93650XPvAibaEXe9fwZBwsCOuQP8xr51qwnX+, ANTN2013,2,2013,73, NULL
62,A71E7B7EXPvAibaEXe+gsTDvgY5pDvugtLkA9WY2, ANTN2013,2,2013,91, NULL
63,C5AB8E67XPvAibaEXe+5f3nhbX2eh0F3gDayami1, ANTN2013,2,2013,89, NULL
64,50224F94XPvAibaEXe+5f3nhbX2eh5Ni5dxXAFSo, ANTN2013,2,2013,81, NULL
65,4EC92EA7XPvAibaEXe+5f3nhbX2eh0DMegX78U1l, ANTN2013,2,2013,100, NULL
66,B2204322XPvAibaEXe/SxwNRab2vgCFsjDisX+gc, ANTN2013,2,2013,89, NULL
67,0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX, ANTN2013,2,2013,87, NULL
68,ACC4D198XPvAibaEXe+5oCRQPDKXspsKZR6r2Sfg, ANTN2013,2,2013,79, NULL
69,7DE2E094XPvAibaEXe/ji2wENvGp6JB8Dx018brq, ANTN2013,2,2013,95, NULL
70,E4F6A5FFXPvAibaEXe9VICkMSMM7n5M0ui4qC0HK, ANTN2013,2,2013,80, NULL
71,B9AFFCD3XPvAibaEXe/HrmBtV6rChjTXLyp5NCEf, ANTN2013,2,2013,94, NULL
72,04AD9652XPvAibaEXe/6muSCAeQUC/HrmBsgyb6e, ANTN2013,2,2013,24, NULL
73,29046716XPvAibaEXe83V/kFvw2bBR3WiVsBjF7n, ANTT2013,2,2013,98, NULL
74,62654F5DXPvAibaEXe9jjgNhrmbJFPIZXXeZlnxy, ANTT2013,2,2013,98, NULL
75,CF209E4FXPvAibaEXe+/EkvXK98KbbLh+JMUgKhh, ANTT2013,2,2013,76, NULL
76,FE7E4CC2XPvAibaEXe8wMpKQnQ7j6Ih9R01KveHG, ANTT2013,2,2013,83, NULL
77,A465B59BXPvAibaEXe99GOtI/HwJhTcVZiHi+eIc, ANTT2013,2,2013,70, NULL
78,F832105BXPvAibaEXe+cD1fKElqxL8dha7yinstM, ANTT2013,2,2013,69, NULL
79,8719AFF0XPvAibaEXe+cD1fKElqxLxHCg1eAHaJE, ANTT2013,2,2013,56, NULL
80,C47110EFXPvAibaEXe/PGAaNNWvbUF95KJJbQ6Bs, ANTT2013,2,2013,87, NULL
81,8219EA1DXPvAibaEXe/PGAaNNWvbUAwbuGIAPcg8, ANTT2013,2,2013,68, NULL
82,A2A984F7XPvAibaEXe9X5bpEKoa0mp7uV1IrtAed, ANTT2013,2,2013,72, NULL
