id,mssv, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2, tinhtrang, diachi_tinhtp,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56
1,BE375BAAXPvAibaEXe9JDlHA4z2GHJ3/PVStCxR2,1995,1, TP. H? Chí Minh, KTPM0001, CNPM, CQUI,8, D480103,3, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2420ED57XPvAibaEXe/Lh6v1XxTKJa6JLFRUPkLM,1995,1, ??ng Tháp, HTTT0001, HTTT, CTTT,8, D480104,3, Huy?n Hóc Môn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,83B76C01XPvAibaEXe/lOccskaOiO2K46r7t4qnt,1994,1, Hà Nam Ninh, KHMT2013, KHMT, CQUI,8, D480101,5, T?nh Hà Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,91F785ABXPvAibaEXe/lOccskaOiO5y4GbVvuRQu,1995,1, TP. H? Chí Minh, HTTT0001, HTTT, CTTT,8, D480104,3, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,1995,1, Thành ph? H? Chí Minh, MMTT0001, MMT&TT, CQUI,8, D480201,8, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4D1054A2XPvAibaEXe8WD3qnVG2b/aV/yYzs56/D,1995,0, Hà T?nh, KTPM0001, CNPM, CQUI,8, D480103,3, T?nh Hà T?nh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AE78A5C2XPvAibaEXe+yU1j0ocViqV7UP2kSRFnX,1995,1, Thanh Hóa, MMTT0001, MMT&TT, CQUI,8, D480201,8, T?nh Thanh Hóa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C6114925XPvAibaEXe/Bn5cQSu92WepaWyZsqola,1995,1, Qu?ng Ngãi, HTTT0001, HTTT, CQUI,8, D52480104,3, Tình Qu?ng Ngãi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,EAA0B693XPvAibaEXe99j2P15eeB04XwhZ0tzlI4,1994,1, TP. H? Chí Minh, KHMT0001, KHMT, CQUI,8, D480101,3, Qu?n 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,01CD0FE9XPvAibaEXe/YKN5ysyYL7C/LVIRFhL6K,1993,1, Khánh Hoà, KHTN2013, KHMT, CNTN,8, D480101,5, T?nh Khánh Hoà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9C8782A5XPvAibaEXe9lF2o7VejWNskIJ3b/KH8Y,1995,1, Khánh Hoà, MMTT0001, MMT&TT, CQUI,8, D480102,3, T?nh Khánh Hoà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4DD248D9XPvAibaEXe+6MN9FoW2mqeloV0TjpGtd,1995,1, C?n Th?, MTCL2013, KTMT, CLC,8, D520214,3, Thành ph? C?n Th?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FF601AFCXPvAibaEXe93PEySAJOVk+OR7t0UZryF,1991,1, Khánh Hoà, CNTT2013, KTTT, CQUI,8, D480201,3, T?nh Khánh Hoà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,F257BE3EXPvAibaEXe+lo6eJkHWaQX9v5OomNEKz,1995,1, Khánh Hoà, KTPM0001, CNPM, CQUI,8, D480103,3, T?nh Khánh Hoà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,933C1FD5XPvAibaEXe9M021iVaAwILPVFi2513M9,1995,0, Gia Lai, KTPM2013, CNPM, CQUI,8, D480103,3, Th? xã An Khê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C29EA000XPvAibaEXe8jolcsAIssTLKSQEcU+Uyk,1995,1, Ti?n Giang, MMTT0001, MMT&TT, CQUI,8, D480102,3, T?nh Ti?n Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,931C7551XPvAibaEXe9ysTifnGoMwRbIrVzkrPrw,1995,1, V?nh Long, ANTT2013, MMT&TT, CQUI,8, D480201,5, Huy?n Bình Tân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7081FE0AXPvAibaEXe/WSo41+3xFkBWpG5iRJavV,1995,1, TP. H? Chí Minh, KTMT2013, KTMT, CQUI,8, D520214,3, Qu?n Th? ??c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1144C476XPvAibaEXe/FejQN8/S5fMTeBtQ6DFpo,1995,1, TP. H? Chí Minh, KHMT2013, KHMT, CQUI,8, D480101,3, Qu?n Th? ??c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,E80CFC67XPvAibaEXe+fmxcqgvribAs3hMtuYLgw,1995,0, Sông Bé, MMTT0001, MMT&TT, CQUI,8, D480102,3, Ph??ng Phú C??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,59CD26EEXPvAibaEXe8wlx2/dthDAuMmTWFxVmcu,1994,1, Thành ph? H? Chí Minh, MMTT0001, MMT&TT, CQUI,8, D480102,8, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
